New York Yankees,191,65,187,70,50
NYY,64,19,17,8,7
New York,111,39,78,33,28
Yankees,80,26,109,37,22
NY Yankees,119,38,124,43,28
Baltimore Orioles,188,80,244,100,57
BAL,15,6,66,21,6
Baltimore,95,41,148,58,29
Orioles,93,39,96,42,28
BAL Orioles,108,45,162,63,34
Boston Red Sox,170,53,154,64,54
BOS,36,9,45,18,12
Boston,85,22,77,32,28
Red Sox,85,31,77,32,26
BOS Red Sox,121,40,122,50,38
Tampa Bay Rays,142,43,182,74,29
TB,22,4,32,14,6
Tampa Bay,79,25,137,47,22
Rays,63,18,45,27,7
TB Rays,85,22,77,41,13
Toronto Blue Jays,212,59,193,85,58
TOR,53,17,28,19,13
Toronto,117,36,72,36,36
Blue Jays,95,23,121,49,22
TOR Blues,112,31,104,50,32
Cleveland Guardians,172,73,314,107,61
CLE,20,11,61,16,11
Cleveland,78,33,165,48,35
Guardians,94,40,149,59,26
CLE Guardians,114,51,210,75,37
Kansas City Royals,212,59,220,103,41
KC,14,5,40,13,5
Kansas City,122,32,148,67,24
Royals,90,27,72,36,17
KC Royals,104,32,112,49,22
Detroit Tigers,169,70,182,83,45
DET,29,11,52,16,13
Detroit,91,37,98,44,27
Tigers,78,33,84,39,18
DET Tigers,107,44,136,55,31
Minnesota Twins,195,60,183,84,54
MIN,36,18,45,18,10
Minnesota,110,38,133,52,35
Twins,85,22,50,32,19
MIN Twins,121,40,95,50,29
Chicago White Sox,169,79,236,74,59
CWS,45,9,36,18,12
Chicago,46,37,143,35,23
White Sox,123,42,93,39,36
CHI White Sox,143,62,154,55,45
Houston Astros,204,51,147,75,57
HOU,44,17,37,10,18
Houston,112,31,77,32,37
Astros,92,20,70,43,20
HOU Astros,136,37,107,53,38
Seattle Mariners,179,62,226,100,48
SEA,25,7,56,20,9
Seattle,82,19,107,44,25
Mariners,97,43,119,56,23
SEA Mariners,122,50,175,76,32
Texas Rangers,151,52,173,74,39
TEX,49,13,32,14,14
Texas,69,15,66,30,18
Rangers,82,37,107,44,21
TEX Rangers,131,50,139,58,35
Oakland Athletics,155,56,277,97,52
ATH,29,11,52,16,10
Oakland,58,22,131,41,23
Athletics,97,34,146,56,29
OAK Athletics,124,43,200,74,39
Los Angeles Angels,167,59,265,85,58
LAA,14,5,67,22,5
Los Angeles,109,37,161,53,38
Angels,58,22,104,32,20
LA Angels,71,26,145,46,24
Philadelphia Phillies,191,110,349,106,74
PHI,33,24,48,12,14
Philadelphia,101,65,223,61,45
Phillies,90,45,126,45,29
PHI Phillies,123,69,174,57,43
Atlanta Braves,136,37,215,89,38
ATL,33,6,48,21,8
Atlanta,69,15,120,48,19
Braves,67,22,95,41,19
ATL Braves,100,28,143,62,27
New York Mets,168,51,129,57,44
NYM,52,16,29,11,10
New York,111,39,78,33,28
Mets,57,12,51,24,16
NY Mets,96,24,66,30,22
Washington Nationals,235,82,278,107,70
WSH,50,14,31,13,14
Washington,130,49,140,50,40
Nationals,105,33,138,57,30
WA Nationals,129,39,168,69,37
Miami Marlins,131,59,193,85,30
MIA,23,14,58,22,6
Miami,45,27,90,36,11
Marlins,86,32,103,49,19
MIA Marlins,109,46,161,71,25
Milwaukee Brewers,190,73,242,98,58
MIL,34,16,47,20,8
Milwaukee,100,37,143,53,33
Brewers,90,36,99,45,25
MIL Brewers,124,52,146,65,33
St. Louis Cardinals,196,61,236,110,50
STL,51,6,30,21,10
St. Louis,115,25,74,47,27
Cardinals,81,36,162,63,23
SL Cardinals,112,40,185,77,29
Chicago Cubs,91,46,206,62,37
CHC,14,14,67,13,11
Chicago,46,37,143,35,23
Cubs,45,9,63,27,14
CHI Cubs,65,29,124,43,23
Cincinnati Reds,142,70,236,92,43
CIN,26,17,55,19,9
Cincinnati,96,51,174,66,29
Reds,46,19,62,26,14
CIN Reds,72,36,117,45,23
Pittsburgh Pirates,228,84,231,105,62
PIT,45,18,36,18,13
Pittsburgh,140,50,130,58,38
Pirates,88,34,101,47,24
PIT Pirates,133,52,137,65,37
Los Angeles Dodgers,181,73,278,89,66
LAD,17,8,64,19,8
Los Angeles,109,37,161,53,38
Dodgers,72,36,117,36,28
LA Dodgers,85,40,158,50,32
San Diego Padres,137,65,241,79,52
SD,23,5,31,13,7
San Diego,74,38,142,43,29
Padres,63,27,99,36,23
SD Padres,86,32,130,49,30
Arizona Diamondbacks,180,81,333,117,61
AZ,27,9,27,9,8
Arizona,84,39,105,42,24
Diamondbacks,96,42,228,75,37
AZ Diamondbacks,123,51,255,84,45
San Francisco Giants,192,75,294,114,59
SF,25,7,29,11,11
San Francisco,122,50,202,76,42
Giants,70,25,92,38,17
SF Giants,95,32,121,49,28
Colorado Rockies,163,73,242,89,57
COL,30,12,51,15,13
Colorado,83,38,133,43,34
Rockies,80,35,109,46,23
COL Rockies,110,47,160,61,36
