New York Yankees,NYY,New York,Yankees,NY Yankees
Baltimore Orioles,BAL,Baltimore,Orioles,BAL Orioles
Boston Red Sox,BOS,Boston,Red Sox,BOS Red Sox
Tampa Bay Rays,TB,Tampa Bay,Rays,TB Rays
Toronto Blue Jays,TOR,Toronto,Blue Jays,TOR Blues
Cleveland Guardians,CLE,Cleveland,Guardians,CLE Guardians
Kansas City Royals,KC,Kansas City,Royals,KC Royals
Detroit Tigers,DET,Detroit,Tigers,DET Tigers
Minnesota Twins,MIN,Minnesota,Twins,MIN Twins
Chicago White Sox,CWS,Chicago,White Sox,CHI White Sox
Houston Astros,HOU,Houston,Astros,HOU Astros
Seattle Mariners,SEA,Seattle,Mariners,SEA Mariners
Texas Rangers,TEX,Texas,Rangers,TEX Rangers
Oakland Athletics,ATH,Oakland,Athletics,OAK Athletics
Los Angeles Angels,LAA,Los Angeles,Angels,LA Angels
Philadelphia Phillies,PHI,Philadelphia,Phillies,PHI Phillies
Atlanta Braves,ATL,Atlanta,Braves,ATL Braves
New York Mets,NYM,New York,Mets,NY Mets
Washington Nationals,WSH,Washington,Nationals,WA Nationals
Miami Marlins,MIA,Miami,Marlins,MIA Marlins
Milwaukee Brewers,MIL,Milwaukee,Brewers,MIL Brewers
St. Louis Cardinals,STL,St. Louis,Cardinals,SL Cardinals
Chicago Cubs,CHC,Chicago,Cubs,CHI Cubs
Cincinnati Reds,CIN,Cincinnati,Reds,CIN Reds
Pittsburgh Pirates,PIT, Pittsburgh, Pirates,PIT Pirates
Los Angeles Dodgers,LAD,Los Angeles,Dodgers,LA Dodgers
San Diego Padres,SD,San Diego,Padres,SD Padres
Arizona Diamondbacks,AZ,Arizona,Diamondbacks,AZ Diamondbacks
San Francisco Giants,SF,San Francisco,Giants,SF Giants
Colorado Rockies,COL,Colorado,Rockies,COL Rockies
